Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 1000L,113
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 100L,113
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,Magic Number,The method contains a magic number: 2000L,113
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,Magic Number,The method contains a magic number: 20L,136
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,Magic Number,The method contains a magic number: 20L,143
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,Magic Number,The method contains a magic number: 20L,153
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,Magic Number,The method contains a magic number: 20L,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertWhitelistRecommendations,Long Statement,The length of the statement "assertThat(namedValue(results`JdbcSourceConnectorConfig.TABLE_WHITELIST_CONFIG).recommendedValues()).containsExactlyInAnyOrderElementsOf(recommendedValues);" is 156.,185
jdbc,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertBlacklistRecommendations,Long Statement,The length of the statement "assertThat(namedValue(results`JdbcSourceConnectorConfig.TABLE_BLACKLIST_CONFIG).recommendedValues()).containsExactlyInAnyOrderElementsOf(recommendedValues);" is 156.,190
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTypeConversion,Long Parameter List,The method has 5 parameters. ,66
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,pollRecords,Magic Number,The method contains a magic number: 10,85
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesAndQueryMandatoryConfigPresent,Long Statement,The length of the statement "assertThrowsExactly(ConnectException.class`config::validate`"Invalid configuration: each JdbcSourceTask must" + " have at least one table assigned to it or one query specified");" is 178.,42
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryAndTablesGiven,Long Statement,The length of the statement "assertThrowsExactly(ConnectException.class`config::validate`"Invalid configuration: each JdbcSourceTask must" + " have at least one table assigned to it or one query specified");" is 178.,55
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,Magic Number,The method contains a magic number: 42,83
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,Magic Number,The method contains a magic number: 42L,83
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,Magic Number,The method contains a magic number: 42L,90
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,Magic Number,The method contains a magic number: 42L,90
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,Magic Number,The method contains a magic number: 42,97
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,Magic Number,The method contains a magic number: 42L,97
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractTooLargeDecimalOffset,Magic Number,The method contains a magic number: 42L,105
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,Magic Number,The method contains a magic number: 2,116
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,Magic Number,The method contains a magic number: 42L,116
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Long Statement,The length of the statement "schema=SchemaBuilder.struct().field("id"`SchemaBuilder.INT32_SCHEMA).field(TS1_COLUMN.name()`Timestamp.SCHEMA).field(TS2_COLUMN.name()`Timestamp.SCHEMA).build();" is 161.,125
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Magic Number,The method contains a magic number: 42,125
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,Magic Number,The method contains a magic number: 42L,125
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testPollInterval,Magic Number,The method contains a magic number: 2,65
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testSingleUpdateMultiplePoll,Magic Number,The method contains a magic number: 2,90
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTables,Magic Number,The method contains a magic number: 2,117
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 3,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 4,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,Magic Number,The method contains a magic number: 2,147
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,Magic Number,The method contains a magic number: 2,64
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingManualCustomId,Magic Number,The method contains a magic number: 2L,133
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 3,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 2,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,manualIncrementingInternal,Magic Number,The method contains a magic number: 3,138
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 32.4f,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 33.4f,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 35.4f,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 2,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 2,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrement,Magic Number,The method contains a magic number: 3,164
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampCustomOffset,Magic Number,The method contains a magic number: 15L,200
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 20L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 2,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 10L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 10L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 10L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 2,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 11L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 3,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 12L,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 4,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 2,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 3,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,timestampInternal,Magic Number,The method contains a magic number: 4,205
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(13L)`UTC_TIME_ZONE)`"created"`DateTimeUtils.formatTimestamp(new Timestamp(10L)`UTC_TIME_ZONE)`"id"`2);" is 185.,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 10L,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 13L,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 10L,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 2,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 11L,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 3,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 12L,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 4,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 3,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 2,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 3,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestamp,Magic Number,The method contains a magic number: 4,248
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 10L,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 4L,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 2,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 3,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 500L,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 4,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 501L,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 5,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 2,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 2,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 3,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 500,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 2,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 4,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampWithDelay,Magic Number,The method contains a magic number: 5,282
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 3,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 11L,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 2,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementing,Magic Number,The method contains a magic number: 3,321
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInNonUtcTimezone,Magic Number,The method contains a magic number: 10L,351
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInInvalidTimezone,Long Statement,The length of the statement "assertThatThrownBy(() -> startTask("modified"`"id"`null`0L`invalidTimeZoneID`null`null)).isInstanceOf(ConnectException.class).hasCauseInstanceOf(ConfigException.class).hasRootCauseMessage("Invalid value Europe/Invalid for configuration db.timezone: Invalid time zone identifier");" is 280.,372
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(11L)`UTC_TIME_ZONE)`"created"`DateTimeUtils.formatTimestamp(new Timestamp(10L)`UTC_TIME_ZONE)`"id"`1);" is 185.,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 3,388
